config_id,seed,area,aspect_ratio,block,x,y,rotation
Q1-BT,1107,191394.0,2.4587813620071683,b0,71.0,653.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b1,0.0,534.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b10,0.0,97.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b11,110.0,122.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b12,69.0,0.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b13,22.0,186.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b14,66.0,281.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b15,220.0,225.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b16,141.0,538.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b17,53.0,574.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b18,159.0,635.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b19,170.0,211.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b2,88.0,438.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b20,117.0,213.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b21,0.0,353.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b22,141.0,395.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b23,196.0,439.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b24,175.0,392.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b25,218.0,322.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b26,42.0,54.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b27,66.0,256.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b28,203.0,400.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b29,249.0,361.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b3,64.0,401.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b30,249.0,423.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b31,136.0,213.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b32,0.0,571.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b33,208.0,57.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b34,42.0,0.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b35,243.0,57.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b36,153.0,172.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b37,22.0,0.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b38,69.0,28.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b39,0.0,630.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b4,196.0,459.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b40,130.0,0.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b41,141.0,444.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b42,79.0,521.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b43,136.0,242.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b44,80.0,474.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b45,22.0,234.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b46,149.0,39.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b47,23.0,441.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b48,23.0,474.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b49,153.0,303.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b5,159.0,0.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b50,209.0,79.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b51,0.0,403.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b52,220.0,277.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b53,0.0,481.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b54,22.0,120.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b55,245.0,493.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b56,42.0,122.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b57,42.0,139.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b58,245.0,447.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b59,241.0,95.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b6,191.0,108.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b60,0.0,441.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b61,126.0,28.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b62,22.0,60.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b63,129.0,350.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b64,60.0,139.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b65,0.0,297.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b66,82.0,61.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b67,198.0,538.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b68,186.0,582.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b69,249.0,582.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b7,131.0,303.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b70,149.0,108.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b71,0.0,33.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b72,66.0,324.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b73,119.0,574.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b74,165.0,350.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b75,52.0,653.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b76,0.0,0.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b77,208.0,0.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b78,117.0,181.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b79,196.0,478.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b8,207.0,636.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b80,66.0,385.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b81,119.0,635.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b82,149.0,61.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b83,188.0,39.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b84,149.0,150.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b85,216.0,146.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b86,182.0,242.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b87,203.0,361.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b88,79.0,213.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b89,79.0,186.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b9,0.0,149.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b90,238.0,549.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b91,23.0,501.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b92,0.0,614.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b93,53.0,618.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b94,220.0,166.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b95,66.0,237.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b96,0.0,257.0,90
Q1-BT,1107,191394.0,2.4587813620071683,b97,261.0,145.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b98,0.0,190.0,0
Q1-BT,1107,191394.0,2.4587813620071683,b99,145.0,471.0,0
Q1-G,1101,279189.0,62.19402985074627,b0,3005.0,0.0,0
Q1-G,1101,279189.0,62.19402985074627,b1,1394.0,0.0,0
