config_id,seed,area,aspect_ratio,block,x,y,rotation
Q1-BT-D,1110,362894.0,3.5,b0,125.0,768.0,90
Q1-BT-D,1110,362894.0,3.5,b1,86.0,712.0,0
Q1-BT-D,1110,362894.0,3.5,b10,282.0,505.0,0
Q1-BT-D,1110,362894.0,3.5,b11,218.0,828.0,90
Q1-BT-D,1110,362894.0,3.5,b12,82.0,67.0,90
Q1-BT-D,1110,362894.0,3.5,b13,132.0,453.0,90
Q1-BT-D,1110,362894.0,3.5,b14,219.0,585.0,0
Q1-BT-D,1110,362894.0,3.5,b15,218.0,776.0,0
Q1-BT-D,1110,362894.0,3.5,b16,110.0,352.0,90
Q1-BT-D,1110,362894.0,3.5,b17,208.0,388.0,0
Q1-BT-D,1110,362894.0,3.5,b18,157.0,388.0,90
Q1-BT-D,1110,362894.0,3.5,b19,82.0,517.0,90
Q1-BT-D,1110,362894.0,3.5,b2,269.0,38.0,0
Q1-BT-D,1110,362894.0,3.5,b20,83.0,892.0,0
Q1-BT-D,1110,362894.0,3.5,b21,157.0,1074.0,0
Q1-BT-D,1110,362894.0,3.5,b22,179.0,65.0,90
Q1-BT-D,1110,362894.0,3.5,b23,151.0,722.0,90
Q1-BT-D,1110,362894.0,3.5,b24,82.0,22.0,90
Q1-BT-D,1110,362894.0,3.5,b25,103.0,1068.0,0
Q1-BT-D,1110,362894.0,3.5,b26,220.0,234.0,0
Q1-BT-D,1110,362894.0,3.5,b27,129.0,625.0,90
Q1-BT-D,1110,362894.0,3.5,b28,212.0,936.0,90
Q1-BT-D,1110,362894.0,3.5,b29,195.0,644.0,0
Q1-BT-D,1110,362894.0,3.5,b3,82.0,548.0,90
Q1-BT-D,1110,362894.0,3.5,b30,194.0,618.0,0
Q1-BT-D,1110,362894.0,3.5,b31,81.0,968.0,0
Q1-BT-D,1110,362894.0,3.5,b32,86.0,606.0,0
Q1-BT-D,1110,362894.0,3.5,b33,120.0,884.0,90
Q1-BT-D,1110,362894.0,3.5,b34,179.0,114.0,0
Q1-BT-D,1110,362894.0,3.5,b35,179.0,0.0,0
Q1-BT-D,1110,362894.0,3.5,b36,86.0,768.0,0
Q1-BT-D,1110,362894.0,3.5,b37,25.0,680.0,0
Q1-BT-D,1110,362894.0,3.5,b38,149.0,501.0,90
Q1-BT-D,1110,362894.0,3.5,b39,238.0,628.0,90
Q1-BT-D,1110,362894.0,3.5,b4,86.0,873.0,0
Q1-BT-D,1110,362894.0,3.5,b40,275.0,72.0,0
Q1-BT-D,1110,362894.0,3.5,b41,156.0,1013.0,0
Q1-BT-D,1110,362894.0,3.5,b42,191.0,335.0,0
Q1-BT-D,1110,362894.0,3.5,b43,179.0,524.0,90
Q1-BT-D,1110,362894.0,3.5,b44,110.0,388.0,90
Q1-BT-D,1110,362894.0,3.5,b45,125.0,811.0,90
Q1-BT-D,1110,362894.0,3.5,b46,59.0,1097.0,0
Q1-BT-D,1110,362894.0,3.5,b47,235.0,454.0,0
Q1-BT-D,1110,362894.0,3.5,b48,173.0,207.0,0
Q1-BT-D,1110,362894.0,3.5,b49,155.0,266.0,90
Q1-BT-D,1110,362894.0,3.5,b5,142.0,313.0,90
Q1-BT-D,1110,362894.0,3.5,b50,110.0,225.0,90
Q1-BT-D,1110,362894.0,3.5,b51,260.0,0.0,90
Q1-BT-D,1110,362894.0,3.5,b52,158.0,749.0,0
Q1-BT-D,1110,362894.0,3.5,b53,86.0,585.0,0
Q1-BT-D,1110,362894.0,3.5,b54,25.0,585.0,90
Q1-BT-D,1110,362894.0,3.5,b55,253.0,335.0,90
Q1-BT-D,1110,362894.0,3.5,b56,107.0,936.0,90
Q1-BT-D,1110,362894.0,3.5,b57,217.0,102.0,0
Q1-BT-D,1110,362894.0,3.5,b58,189.0,454.0,0
Q1-BT-D,1110,362894.0,3.5,b59,128.0,834.0,90
Q1-BT-D,1110,362894.0,3.5,b6,210.0,47.0,0
Q1-BT-D,1110,362894.0,3.5,b60,107.0,1019.0,90
Q1-BT-D,1110,362894.0,3.5,b61,162.0,690.0,0
Q1-BT-D,1110,362894.0,3.5,b62,86.0,749.0,0
Q1-BT-D,1110,362894.0,3.5,b63,110.0,189.0,90
Q1-BT-D,1110,362894.0,3.5,b64,210.0,0.0,0
Q1-BT-D,1110,362894.0,3.5,b65,25.0,0.0,0
Q1-BT-D,1110,362894.0,3.5,b66,183.0,1013.0,0
Q1-BT-D,1110,362894.0,3.5,b67,122.0,145.0,90
Q1-BT-D,1110,362894.0,3.5,b68,155.0,884.0,90
Q1-BT-D,1110,362894.0,3.5,b69,212.0,749.0,0
Q1-BT-D,1110,362894.0,3.5,b7,82.0,0.0,90
Q1-BT-D,1110,362894.0,3.5,b70,170.0,936.0,0
Q1-BT-D,1110,362894.0,3.5,b71,110.0,453.0,90
Q1-BT-D,1110,362894.0,3.5,b72,25.0,603.0,0
Q1-BT-D,1110,362894.0,3.5,b73,220.0,274.0,90
Q1-BT-D,1110,362894.0,3.5,b74,86.0,835.0,90
Q1-BT-D,1110,362894.0,3.5,b75,81.0,1064.0,0
Q1-BT-D,1110,362894.0,3.5,b76,129.0,690.0,90
Q1-BT-D,1110,362894.0,3.5,b77,122.0,0.0,90
Q1-BT-D,1110,362894.0,3.5,b78,163.0,234.0,0
Q1-BT-D,1110,362894.0,3.5,b79,122.0,85.0,90
Q1-BT-D,1110,362894.0,3.5,b8,25.0,968.0,0
Q1-BT-D,1110,362894.0,3.5,b80,25.0,664.0,90
Q1-BT-D,1110,362894.0,3.5,b81,129.0,585.0,90
Q1-BT-D,1110,362894.0,3.5,b82,45.0,911.0,0
