instance,problem,config_id,candidate,directed_moves,state_dedup,seed,code_hash,config_hash,max_evaluations,time_limit,restarts,status,legal,W,H,area,module_area,aspect_ratio,deadspace,dead_space_ratio,rho,HPWL,runtime,evaluations,proposals,accepted,duplicate_rejections,restarts_completed,formal_audit_match,error,layout_path,log_path
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1101,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,356.0,1238.0,440728.0,179501.0,3.4775280898876404,261227.0,1.4552955136740184,0.5927170499718647,0,60.000125699996715,67146,67045,30,66982,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1101/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1101/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1102,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,315.0,1284.0,404460.0,179501.0,4.076190476190476,224959.0,1.2532465000194986,0.5561959155417099,0,60.0007373000044,67194,67093,39,66929,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1102/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1102/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1103,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,314.0,1889.0,593146.0,179501.0,6.015923566878981,413645.0,2.304416131386455,0.6973746767237746,0,60.000255600003584,65761,65660,4,65654,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1103/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1103/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1104,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,399.0,1187.0,473613.0,179501.0,2.974937343358396,294112.0,1.6384978356666537,0.6209964675800707,0,60.00039089999336,64876,64775,32,64733,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1104/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1104/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1105,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,297.0,1702.0,505494.0,179501.0,5.730639730639731,325993.0,1.816106874056412,0.6448998405520144,0,60.00015920000442,70787,70686,11,70672,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1105/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1105/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1106,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,258.0,1788.0,461304.0,179501.0,6.930232558139535,281803.0,1.5699244015353675,0.6108834954823718,0,60.00003789999755,76014,75913,15,75889,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1106/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1106/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1107,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,309.0,1477.0,456393.0,179501.0,4.7799352750809065,276892.0,1.5425652224778692,0.6066964217242595,0,60.0010478999975,69618,69517,16,69492,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1107/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1107/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1108,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,285.0,1430.0,407550.0,179501.0,5.017543859649122,228049.0,1.2704608887972768,0.5595607900871059,0,60.000120400000014,63741,63640,33,63445,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1108/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1108/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1109,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,354.0,1214.0,429756.0,179501.0,3.4293785310734464,250255.0,1.394170506013894,0.5823188041586389,0,60.00075890000153,66723,66622,30,66474,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1109/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1109/events.jsonl
n100,Q1,Q1-BT-D,Q1-BT-D,True,True,1110,49b949a32a9adf778a19163f3fe3fcc9d2c0d7376e769124d52df820c53a3558,d56cc283d14fd972de7e251837503d7bad5b9f00d2bca6e891990077f53c99b7,100000,60.0,4,timeout,True,322.0,1127.0,362894.0,179501.0,3.5,183393.0,1.0216823304605545,0.5053624474364415,0,60.00064289999864,72042,71941,35,71872,1,True,,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1110/layout.json,outputs/q1/_runtime/v2_n100_p2/n100/Q1-BT-D/seed_1110/events.jsonl
