config_id,seed,area,aspect_ratio,block,x,y,rotation
P1,1107,190557.0,2.4480286738351253,b0,52.0,650.0,0
P1,1107,190557.0,2.4480286738351253,b1,0.0,252.0,0
P1,1107,190557.0,2.4480286738351253,b10,0.0,159.0,0
P1,1107,190557.0,2.4480286738351253,b11,110.0,116.0,0
P1,1107,190557.0,2.4480286738351253,b12,98.0,0.0,0
P1,1107,190557.0,2.4480286738351253,b13,22.0,181.0,90
P1,1107,190557.0,2.4480286738351253,b14,66.0,286.0,0
P1,1107,190557.0,2.4480286738351253,b15,220.0,270.0,0
P1,1107,190557.0,2.4480286738351253,b16,23.0,493.0,90
P1,1107,190557.0,2.4480286738351253,b17,53.0,571.0,90
P1,1107,190557.0,2.4480286738351253,b18,181.0,632.0,0
P1,1107,190557.0,2.4480286738351253,b19,170.0,211.0,90
P1,1107,190557.0,2.4480286738351253,b2,88.0,431.0,0
P1,1107,190557.0,2.4480286738351253,b20,117.0,207.0,90
P1,1107,190557.0,2.4480286738351253,b21,0.0,289.0,0
P1,1107,190557.0,2.4480286738351253,b22,141.0,395.0,90
P1,1107,190557.0,2.4480286738351253,b23,196.0,439.0,90
P1,1107,190557.0,2.4480286738351253,b24,243.0,57.0,90
P1,1107,190557.0,2.4480286738351253,b25,220.0,322.0,0
P1,1107,190557.0,2.4480286738351253,b26,109.0,61.0,90
P1,1107,190557.0,2.4480286738351253,b27,57.0,406.0,90
P1,1107,190557.0,2.4480286738351253,b28,206.0,400.0,90
P1,1107,190557.0,2.4480286738351253,b29,249.0,580.0,0
P1,1107,190557.0,2.4480286738351253,b3,66.0,249.0,90
P1,1107,190557.0,2.4480286738351253,b30,252.0,415.0,90
P1,1107,190557.0,2.4480286738351253,b31,136.0,211.0,90
P1,1107,190557.0,2.4480286738351253,b32,0.0,585.0,90
P1,1107,190557.0,2.4480286738351253,b33,208.0,57.0,90
P1,1107,190557.0,2.4480286738351253,b34,42.0,0.0,0
P1,1107,190557.0,2.4480286738351253,b35,175.0,392.0,0
P1,1107,190557.0,2.4480286738351253,b36,153.0,172.0,90
P1,1107,190557.0,2.4480286738351253,b37,22.0,0.0,0
P1,1107,190557.0,2.4480286738351253,b38,69.0,28.0,90
P1,1107,190557.0,2.4480286738351253,b39,0.0,628.0,0
P1,1107,190557.0,2.4480286738351253,b4,196.0,459.0,0
P1,1107,190557.0,2.4480286738351253,b40,69.0,0.0,90
P1,1107,190557.0,2.4480286738351253,b41,141.0,444.0,90
P1,1107,190557.0,2.4480286738351253,b42,80.0,518.0,0
P1,1107,190557.0,2.4480286738351253,b43,136.0,242.0,90
P1,1107,190557.0,2.4480286738351253,b44,80.0,471.0,0
P1,1107,190557.0,2.4480286738351253,b45,22.0,229.0,90
P1,1107,190557.0,2.4480286738351253,b46,149.0,39.0,0
P1,1107,190557.0,2.4480286738351253,b47,23.0,433.0,0
P1,1107,190557.0,2.4480286738351253,b48,23.0,466.0,0
P1,1107,190557.0,2.4480286738351253,b49,133.0,303.0,90
P1,1107,190557.0,2.4480286738351253,b5,159.0,0.0,90
P1,1107,190557.0,2.4480286738351253,b50,209.0,79.0,90
P1,1107,190557.0,2.4480286738351253,b51,0.0,395.0,90
P1,1107,190557.0,2.4480286738351253,b52,220.0,225.0,0
P1,1107,190557.0,2.4480286738351253,b53,0.0,473.0,90
P1,1107,190557.0,2.4480286738351253,b54,22.0,120.0,0
P1,1107,190557.0,2.4480286738351253,b55,245.0,485.0,0
P1,1107,190557.0,2.4480286738351253,b56,42.0,115.0,90
P1,1107,190557.0,2.4480286738351253,b57,42.0,132.0,0
P1,1107,190557.0,2.4480286738351253,b58,245.0,439.0,90
P1,1107,190557.0,2.4480286738351253,b59,241.0,102.0,90
P1,1107,190557.0,2.4480286738351253,b6,191.0,108.0,90
P1,1107,190557.0,2.4480286738351253,b60,0.0,433.0,90
P1,1107,190557.0,2.4480286738351253,b61,126.0,28.0,90
P1,1107,190557.0,2.4480286738351253,b62,22.0,60.0,90
P1,1107,190557.0,2.4480286738351253,b63,129.0,350.0,0
P1,1107,190557.0,2.4480286738351253,b64,60.0,132.0,0
P1,1107,190557.0,2.4480286738351253,b65,0.0,339.0,0
P1,1107,190557.0,2.4480286738351253,b66,42.0,54.0,0
P1,1107,190557.0,2.4480286738351253,b67,198.0,538.0,0
P1,1107,190557.0,2.4480286738351253,b68,186.0,580.0,90
P1,1107,190557.0,2.4480286738351253,b69,252.0,361.0,90
P1,1107,190557.0,2.4480286738351253,b7,198.0,298.0,0
P1,1107,190557.0,2.4480286738351253,b70,149.0,108.0,0
P1,1107,190557.0,2.4480286738351253,b71,0.0,33.0,90
P1,1107,190557.0,2.4480286738351253,b72,66.0,329.0,0
P1,1107,190557.0,2.4480286738351253,b73,119.0,571.0,90
P1,1107,190557.0,2.4480286738351253,b74,165.0,350.0,0
P1,1107,190557.0,2.4480286738351253,b75,95.0,650.0,0
P1,1107,190557.0,2.4480286738351253,b76,0.0,0.0,0
P1,1107,190557.0,2.4480286738351253,b77,208.0,0.0,0
P1,1107,190557.0,2.4480286738351253,b78,117.0,175.0,0
P1,1107,190557.0,2.4480286738351253,b79,196.0,478.0,90
P1,1107,190557.0,2.4480286738351253,b8,119.0,632.0,90
P1,1107,190557.0,2.4480286738351253,b80,66.0,390.0,90
