instance,problem,config_id,candidate,directed_moves,state_dedup,seed,code_hash,config_hash,max_evaluations,time_limit,restarts,status,legal,W,H,area,module_area,aspect_ratio,deadspace,dead_space_ratio,rho,HPWL,runtime,evaluations,proposals,accepted,duplicate_rejections,restarts_completed,formal_audit_match,error,layout_path,log_path
n100,Q1,P1,Q1-BT,False,False,1101,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,285.0,692.0,197220.0,179501.0,2.4280701754385965,17719.0,0.09871254199140952,0.0898438292262448,0,60.000062600011006,86928,86827,3676,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1101/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1101/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1102,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,231.0,844.0,194964.0,179501.0,3.653679653679654,15463.0,0.08614436688374995,0.079312078127244,0,60.00044690002687,87563,87462,3752,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1102/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1102/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1103,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,278.0,708.0,196824.0,179501.0,2.5467625899280577,17323.0,0.09650642614804375,0.08801264073486974,0,60.00038679991849,86210,86109,3644,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1103/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1103/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1104,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,253.0,759.0,192027.0,179501.0,3.0,12526.0,0.06978234104545379,0.06523041030688392,0,60.00005749985576,88608,88507,4853,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1104/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1104/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1105,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,255.0,763.0,194565.0,179501.0,2.992156862745098,15064.0,0.08392153804157079,0.0774239971217845,0,60.000363799976185,86740,86639,3512,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1105/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1105/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1106,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,243.0,790.0,191970.0,179501.0,3.251028806584362,12469.0,0.06946479406799962,0.06495285721727354,0,60.000509099802,88593,88492,3808,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1106/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1106/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1107,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,279.0,683.0,190557.0,179501.0,2.4480286738351253,11056.0,0.061592971626899015,0.058019385275796746,0,60.0000744999852,86192,86091,3595,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1107/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1107/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1108,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,240.0,844.0,202560.0,179501.0,3.5166666666666666,23059.0,0.12846167987922072,0.11383787519747235,0,60.000044599873945,88490,88389,3735,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1108/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1108/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1109,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,241.0,803.0,193523.0,179501.0,3.33195020746888,14022.0,0.07811655645372449,0.07245650387809201,0,60.000351399881765,88588,88487,4250,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1109/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1109/events.jsonl
n100,Q1,P1,Q1-BT,False,False,1110,a66be2e21bd3f0641b21c86ac8978539e9485eb1ce02e87b8ee2ba07bbf61e39,3b9025ae5c61e1c06841d50739b8eb84afcdb131876913df9f4b8e182067a2ca,100000,60.0,4,timeout,True,306.0,648.0,198288.0,179501.0,2.1176470588235294,18787.0,0.10466236956897176,0.09474602598240943,0,60.00024570012465,85145,85044,4122,0,1,True,,outputs/q1/_runtime/v2_n100/n100/P1/seed_1110/layout.json,outputs/q1/_runtime/v2_n100/n100/P1/seed_1110/events.jsonl
