comparison,seed,baseline_HPWL,candidate_HPWL,difference,relative_difference_percent,candidate_better
P1-minus-P0,2101,296924.5,256709.5,-40215.0,-13.543847004878346,True
P1-minus-P0,2102,297261.0,269503.0,-27758.0,-9.337921893554823,True
P1-minus-P0,2103,297261.0,258548.0,-38713.0,-13.023235473203684,True
P1-minus-P0,2104,297261.0,276867.0,-20394.0,-6.86063762148415,True
P1-minus-P0,2105,297261.0,267260.5,-30000.5,-10.09230945196309,True
P1-minus-P0,2106,297261.0,263450.0,-33811.0,-11.374179593017583,True
P1-minus-P0,2107,297261.0,263137.0,-34124.0,-11.479474266721837,True
P1-minus-P0,2108,297261.0,256205.5,-41055.5,-13.81126350244398,True
P1-minus-P0,2109,297261.0,265090.5,-32170.5,-10.822307669018135,True
P1-minus-P0,2110,297261.0,257996.0,-39265.0,-13.208930872196486,True
P2-ON-minus-P2-OFF,2101,256709.5,241764.5,-14945.0,-5.82175571998699,True
P2-ON-minus-P2-OFF,2102,269503.0,244156.0,-25347.0,-9.405090110314172,True
P2-ON-minus-P2-OFF,2103,258548.0,255957.5,-2590.5,-1.0019416123891889,True
P2-ON-minus-P2-OFF,2104,276867.0,259663.0,-17204.0,-6.21381385286076,True
P2-ON-minus-P2-OFF,2105,267260.5,248000.0,-19260.5,-7.206639215297435,True
P2-ON-minus-P2-OFF,2106,263450.0,254328.0,-9122.0,-3.462516606566711,True
P2-ON-minus-P2-OFF,2107,263137.0,252740.5,-10396.5,-3.9509837081064236,True
P2-ON-minus-P2-OFF,2108,256205.5,247853.5,-8352.0,-3.2598831797131598,True
P2-ON-minus-P2-OFF,2109,265090.5,248165.5,-16925.0,-6.38461204758375,True
P2-ON-minus-P2-OFF,2110,257996.0,241858.5,-16137.5,-6.254941937084296,True
