instance,problem,config_id,candidate,adaptive_constraints,hypergraph_init,sa_schedule,classic_final_temperature_ratio,initialization_mode,seed,code_hash,data_hash,config_hash,max_evaluations,time_limit,restarts,dead_space_ratio_target,rho_target,outline_side,placement_width,placement_height,boundary_overflow,status,legal,W,H,area,module_area,deadspace,dead_space_ratio,rho,HPWL,first_feasible_evaluation,first_feasible_time,runtime,evaluations,proposals,accepted,restarts_completed,restart_initial_hpwl,restart_initial_legal,restart_initial_signatures,restart_init_seeds,restart_search_seeds,best_initial_hpwl,improvement_from_initial,formal_audit_match,error,layout_path,log_path
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1101,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,253574.5,1,0.02048909990116954,76.33277689991519,30000,29596,2625,4,"[262824.0, 262824.0, 289769.5, 262824.0]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[15069214044583154960, 3989856694912824944, 2661509736150278289, 13834970906742651052]","[7499492599415362935, 2905780122230859315, 10350694108856852764, 11030909774765187555]",262824.0,-9249.5,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1101/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1101/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1102,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,450.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,245513.0,1,0.02051599998958409,76.7043401999399,30000,29596,2342,4,"[262824.0, 262824.0, 289560.0, 262824.0]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[6772410899119475373, 11107198365752776242, 9563781016226826757, 3598379208219332329]","[12085470825373981219, 18221073237232679131, 7769493396683530037, 16254012149767843311]",262824.0,-17311.0,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1102/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1102/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1103,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,452.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,249365.0,1,0.02132329996675253,76.27198520000093,30000,29596,2484,4,"[290054.0, 262824.0, 290054.0, 262824.0]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[12135215945207102569, 15582561335276523630, 12338567117090067192, 3079492529622617869]","[12657997934566651133, 2631414084271606225, 1463344780772596590, 18066826565992590072]",262824.0,-13459.0,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1103/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1103/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1104,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,254216.5,1,0.02059289999306202,76.13497899984941,30000,29596,2503,4,"[289560.0, 289560.0, 289769.5, 262824.0]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[5519385485891232435, 4864571086218942634, 18276767836643092281, 4768866369821581552]","[6087709846526722299, 17227049235790470926, 1317835604253261287, 10834731220969881501]",262824.0,-8607.5,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1104/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1104/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1105,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,449.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,249597.0,1,0.021313600009307265,75.06800840003416,30000,29596,2314,4,"[289560.0, 262824.0, 262824.0, 289769.5]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[405473958593186434, 16874933272829122521, 12030560686494230337, 9301649008460727160]","[5085224176280697767, 91998135572132959, 12211170323642779300, 15889052163971399644]",262824.0,-13227.0,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1105/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1105/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1106,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,453.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,250569.0,1,0.021149999927729368,83.15935219987296,30000,29596,2456,4,"[289560.0, 262824.0, 289560.0, 262824.0]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[7531608713258261741, 14175965719959765116, 11186411957387332916, 2094743275900435287]","[1112939384894698400, 8673524654106791277, 283466818900148146, 1601807055975328195]",262824.0,-12255.0,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1106/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1106/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1107,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,453.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,246292.5,1,0.021574399899691343,81.46185449999757,30000,29596,2343,4,"[289560.0, 262824.0, 262824.0, 289769.5]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[14136875571908800499, 5819213464168150010, 2951595777471514202, 47246985610898909]","[2578418112670833939, 9697604276939390585, 7576983910782932464, 16465228707412904278]",262824.0,-16531.5,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1107/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1107/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1108,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,448.0,453.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,246842.5,1,0.020956600084900856,79.97473310003988,30000,29596,2488,4,"[262824.0, 289560.0, 289769.5, 289769.5]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[13984684975940408541, 5317212249743817180, 12807164390642453039, 2884238519002044187]","[11741702813382626205, 18284123928148922442, 10436706967202108056, 1454857174531735360]",262824.0,-15981.5,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1108/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1108/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1109,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,450.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,245631.5,1,0.021027199923992157,76.97265850007534,30000,29596,2439,4,"[262824.0, 262824.0, 262824.0, 262824.0]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[1460689014343907338, 1415333443466120813, 16110481434240505499, 12942583163764011431]","[8904290773028351551, 9953157798439155850, 402824019859694375, 12413799216029360491]",262824.0,-17192.5,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1109/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1109/events.jsonl
n100,Q2,P2-ON,Q2-HG,True,True,fast,0.001,shelf,1110,5182e532feca7ba4337692b112b06f181d6f79ee85596eacf83c9109b14fb709,6be0918f672ac3bbdf8300aaeddedf4f348a2b1a1ea74f5975cc084ba0b2ec13,53cc3b06b1f09685c2b904c24fe7e462cb8e2ab5f94334409e1229dad3f0fb17,30000,180.0,4,0.15,0.13043478260869565,454.3414464915126,454.0,454.0,0.0,success,True,454.3414464915126,454.3414464915126,206426.15000000002,179501.0,26925.150000000023,0.15000000000000013,0.13043478260869576,251765.0,1,0.021727600134909153,75.61712549999356,30000,29596,2281,4,"[262824.0, 290054.0, 262824.0, 290054.0]","[True, True, True, True]","['9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9', '9ef784d7785347c1eccbd8460c47aababb204aeb58104bd2b394b2bca2d545b9']","[3788695661504671989, 3962030390388774, 14420903303783813831, 9862168214007483461]","[11490552934286420016, 7318124843874173039, 7889677405720425377, 4649626709178159914]",262824.0,-11059.0,True,,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1110/layout.json,outputs/q2/_runtime/v2_n100_repaired_fix2/P2-ON/n100/P2-ON/seed_1110/events.jsonl
