comparison,seed,baseline_legal,candidate_legal,baseline_HPWL,candidate_HPWL,difference,relative_difference_percent,candidate_better
P1-minus-P0,1101,True,True,291762.0,269397.5,-22364.5,-7.665323105819126,True
P1-minus-P0,1102,True,True,290067.5,254195.5,-35872.0,-12.366776698527067,True
P1-minus-P0,1103,True,True,290815.5,254145.0,-36670.5,-12.609541100801023,True
P1-minus-P0,1104,True,True,289736.0,246188.5,-43547.5,-15.030061849407735,True
P1-minus-P0,1105,True,True,288250.0,255596.0,-32654.0,-11.328360797918474,True
P1-minus-P0,1106,True,True,291811.5,258625.0,-33186.5,-11.372581272499541,True
P1-minus-P0,1107,True,True,291219.5,257526.0,-33693.5,-11.569795291867473,True
P1-minus-P0,1108,True,True,294538.5,248609.5,-45929.0,-15.593547193321077,True
P1-minus-P0,1109,True,True,291266.0,250487.0,-40779.0,-14.000604258650167,True
P1-minus-P0,1110,True,True,291754.5,250470.5,-41284.0,-14.150253038085104,True
P1-minus-A2-BASE,1101,True,True,260841.0,269397.5,8556.5,3.2803508650863935,False
P1-minus-A2-BASE,1102,True,True,247846.0,254195.5,6349.5,2.56187309861769,False
P1-minus-A2-BASE,1103,True,True,253375.0,254145.0,770.0,0.30389738529847066,False
P1-minus-A2-BASE,1104,True,True,250358.0,246188.5,-4169.5,-1.6654151255402265,True
P1-minus-A2-BASE,1105,True,True,249615.5,255596.0,5980.5,2.395884870931493,False
P1-minus-A2-BASE,1106,True,True,258655.0,258625.0,-30.0,-0.01159846127080474,True
P1-minus-A2-BASE,1107,True,True,258046.5,257526.0,-520.5,-0.2017078317280025,True
P1-minus-A2-BASE,1108,True,True,251110.5,248609.5,-2501.0,-0.9959758751625281,True
P1-minus-A2-BASE,1109,True,True,261525.5,250487.0,-11038.5,-4.22081211965946,True
P1-minus-A2-BASE,1110,True,True,253906.5,250470.5,-3436.0,-1.3532540521806256,True
P2-ON-minus-P2-OFF,1101,True,True,269397.5,253574.5,-15823.0,-5.8734769253612225,True
P2-ON-minus-P2-OFF,1102,True,True,254195.5,245513.0,-8682.5,-3.415678090288774,True
P2-ON-minus-P2-OFF,1103,True,True,254145.0,249365.0,-4780.0,-1.8808160695665859,True
P2-ON-minus-P2-OFF,1104,True,True,246188.5,254216.5,8028.0,3.2609159241800487,False
P2-ON-minus-P2-OFF,1105,True,True,255596.0,249597.0,-5999.0,-2.347063334324481,True
P2-ON-minus-P2-OFF,1106,True,True,258625.0,250569.0,-8056.0,-3.114934751087482,True
P2-ON-minus-P2-OFF,1107,True,True,257526.0,246292.5,-11233.5,-4.362083828428974,True
P2-ON-minus-P2-OFF,1108,True,True,248609.5,246842.5,-1767.0,-0.710753209350407,True
P2-ON-minus-P2-OFF,1109,True,True,250487.0,245631.5,-4855.5,-1.9384239501451173,True
P2-ON-minus-P2-OFF,1110,True,True,250470.5,251765.0,1294.5,0.5168273309631274,False
P2-OFF-minus-P1,1101,True,True,269397.5,269397.5,0.0,0.0,False
P2-OFF-minus-P1,1102,True,True,254195.5,254195.5,0.0,0.0,False
P2-OFF-minus-P1,1103,True,True,254145.0,254145.0,0.0,0.0,False
P2-OFF-minus-P1,1104,True,True,246188.5,246188.5,0.0,0.0,False
P2-OFF-minus-P1,1105,True,True,255596.0,255596.0,0.0,0.0,False
P2-OFF-minus-P1,1106,True,True,258625.0,258625.0,0.0,0.0,False
P2-OFF-minus-P1,1107,True,True,257526.0,257526.0,0.0,0.0,False
P2-OFF-minus-P1,1108,True,True,248609.5,248609.5,0.0,0.0,False
P2-OFF-minus-P1,1109,True,True,250487.0,250487.0,0.0,0.0,False
P2-OFF-minus-P1,1110,True,True,250470.5,250470.5,0.0,0.0,False
