phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.15,449.5001668520269,1.0,True,,2201,cold,timeout,True,508673.5,60.00317889987491,7849,7447,983,2,1,0.23599569988436997,True,
threshold,0.15,449.5001668520269,1.0,True,,2202,cold,timeout,True,511461.0,60.005088000092655,7896,7494,960,2,1,0.25552879995666444,True,
threshold,0.15,449.5001668520269,1.0,True,,2203,cold,timeout,True,518464.0,60.0036245000083,7841,7439,982,2,1,0.2375987998675555,True,
threshold,0.15,449.5001668520269,1.0,True,,2204,cold,timeout,True,511653.5,60.00423640012741,7941,7539,956,2,1,0.24744569999165833,True,
threshold,0.15,449.5001668520269,1.0,True,,2205,cold,timeout,True,518062.0,60.00424099992961,7540,7299,772,2,1,0.19124830001965165,True,
threshold,0.15,449.5001668520269,1.0,True,,2206,cold,timeout,True,518039.0,60.003335299901664,7569,7299,854,2,1,0.20052239997312427,True,
threshold,0.15,449.5001668520269,1.0,True,,2207,cold,timeout,True,508698.0,60.008517399895936,7392,7191,843,1,1,0.17686109989881516,True,
threshold,0.15,449.5001668520269,1.0,True,,2208,cold,timeout,True,501930.0,60.00557769997977,7451,7250,817,1,1,0.20566250011324883,True,
threshold,0.15,449.5001668520269,1.0,True,,2209,cold,timeout,True,508984.0,60.00318959983997,7996,7594,897,2,1,0.2965627999510616,True,
threshold,0.15,449.5001668520269,1.0,True,,2210,cold,timeout,True,518405.0,60.00139519991353,7997,7595,763,2,1,0.3000302999280393,True,
threshold,0.15,449.5001668520269,1.0,True,,2211,cold,timeout,True,502312.0,60.003631699830294,7882,7480,871,2,1,0.34236869984306395,True,
threshold,0.15,449.5001668520269,1.0,True,,2212,cold,timeout,True,518992.5,60.00511800008826,7944,7542,792,2,1,0.3379546001087874,True,
threshold,0.15,449.5001668520269,1.0,True,,2213,cold,timeout,True,512106.5,60.00842899992131,7922,7520,830,2,1,0.18139619985595345,True,
threshold,0.15,449.5001668520269,1.0,True,,2214,cold,timeout,True,502764.5,60.01135879987851,8037,7635,947,2,1,0.1831177999265492,True,
threshold,0.15,449.5001668520269,1.0,True,,2215,cold,timeout,True,504830.5,60.00190980010666,7932,7530,934,2,1,0.16817930014804006,True,
threshold,0.15,449.5001668520269,1.0,True,,2216,cold,timeout,True,517407.5,60.003891200060025,7956,7554,1203,2,1,0.1693861000239849,True,
threshold,0.15,449.5001668520269,1.0,True,,2217,cold,timeout,True,515236.0,60.000557699939236,7950,7548,969,2,1,0.17062109988182783,True,
threshold,0.15,449.5001668520269,1.0,True,,2218,cold,timeout,True,505880.5,60.00557800009847,8014,7612,908,2,1,0.1837101001292467,True,
threshold,0.15,449.5001668520269,1.0,True,,2219,cold,timeout,True,517601.5,60.001962000038475,8024,7622,916,2,1,0.17816320015117526,True,
threshold,0.15,449.5001668520269,1.0,True,,2220,cold,timeout,True,517161.5,60.002393499948084,7978,7576,968,2,1,0.19917079992592335,True,
threshold,0.0,419.1610668943384,0.0,False,,2201,cold,no_feasible,False,585809.0,60.00145090022124,8070,7668,2299,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2202,cold,no_feasible,False,597518.5,60.00283220014535,7912,7510,2018,2,,,True,
