phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.15,449.5001668520269,1.0,True,,2201,cold,timeout,True,508673.5,60.00350710004568,7522,7299,928,2,1,0.2722396000754088,True,
threshold,0.15,449.5001668520269,1.0,True,,2202,cold,timeout,True,511461.0,60.00901319994591,7532,7299,899,2,1,0.27209310000762343,True,
threshold,0.15,449.5001668520269,1.0,True,,2203,cold,timeout,True,518464.0,60.002499599941075,7639,7299,940,2,1,0.2337909999769181,True,
threshold,0.15,449.5001668520269,1.0,True,,2204,cold,timeout,True,511653.5,60.01157999993302,7617,7299,877,2,1,0.22321379999630153,True,
threshold,0.15,449.5001668520269,1.0,True,,2205,cold,timeout,True,518062.0,60.00556910014711,7719,7317,788,2,1,0.22720940015278757,True,
threshold,0.15,449.5001668520269,1.0,True,,2206,cold,timeout,True,518039.0,60.00457670004107,7712,7310,859,2,1,0.22899290011264384,True,
threshold,0.15,449.5001668520269,1.0,True,,2207,cold,timeout,True,508264.5,60.01116869994439,7654,7299,848,2,1,0.24424730008468032,True,
threshold,0.15,449.5001668520269,1.0,True,,2208,cold,timeout,True,501930.0,60.00134630012326,7610,7299,824,2,1,0.22526930016465485,True,
threshold,0.15,449.5001668520269,1.0,True,,2209,cold,timeout,True,508984.0,60.00332610006444,7846,7444,864,2,1,0.22158659994602203,True,
threshold,0.15,449.5001668520269,1.0,True,,2210,cold,timeout,True,518405.0,60.00672659999691,7901,7499,742,2,1,0.2180814000312239,True,
threshold,0.15,449.5001668520269,1.0,True,,2211,cold,timeout,True,502312.0,60.005907700164244,7703,7301,799,2,1,0.20781489997170866,True,
threshold,0.15,449.5001668520269,1.0,True,,2212,cold,timeout,True,518992.5,60.006824699928984,7789,7387,762,2,1,0.18454029993154109,True,
threshold,0.15,449.5001668520269,1.0,True,,2213,cold,timeout,True,512106.5,60.002244299976155,7749,7347,796,2,1,0.21994929993525147,True,
threshold,0.15,449.5001668520269,1.0,True,,2214,cold,timeout,True,502764.5,60.010925400070846,7810,7408,897,2,1,0.2457381000276655,True,
threshold,0.15,449.5001668520269,1.0,True,,2215,cold,timeout,True,504830.5,60.00855060014874,7816,7414,914,2,1,0.20356809999793768,True,
threshold,0.15,449.5001668520269,1.0,True,,2216,cold,timeout,True,517407.5,60.00297370017506,7756,7354,1159,2,1,0.22325220005586743,True,
threshold,0.15,449.5001668520269,1.0,True,,2217,cold,timeout,True,515236.0,60.000576299848035,7807,7405,941,2,1,0.2190018999390304,True,
threshold,0.15,449.5001668520269,1.0,True,,2218,cold,timeout,True,505880.5,60.01140860002488,7830,7428,885,2,1,0.20646269991993904,True,
threshold,0.15,449.5001668520269,1.0,True,,2219,cold,timeout,True,517601.5,60.004039800027385,7779,7377,870,2,1,0.18888769997283816,True,
threshold,0.15,449.5001668520269,1.0,True,,2220,cold,timeout,True,517161.5,60.00883949990384,7815,7413,932,2,1,0.21406990010291338,True,
threshold,0.0,419.1610668943384,0.0,False,,2201,warm,no_feasible,False,546647.5,60.00577079993673,9492,9090,1652,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2201,cold,no_feasible,False,585809.0,60.004442600067705,7909,7507,2214,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2202,cold,no_feasible,False,597518.5,60.00265709985979,7851,7449,1989,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2203,cold,no_feasible,False,597856.0,60.00234949984588,7819,7417,1934,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2204,cold,no_feasible,False,580504.5,60.00315360003151,7964,7562,2326,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2205,cold,no_feasible,False,598515.0,60.00097929988988,7765,7363,1941,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2206,cold,no_feasible,False,600376.5,60.00961420009844,7748,7346,1931,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2207,cold,no_feasible,False,596770.5,60.0074247000739,7815,7413,2122,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2208,cold,no_feasible,False,613068.5,60.00856520002708,7871,7469,2098,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2209,cold,no_feasible,False,593466.5,60.00062320008874,7777,7375,1983,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2210,cold,no_feasible,False,596594.0,60.00530990003608,7760,7358,2142,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2211,cold,no_feasible,False,581459.5,60.00417340011336,7908,7506,2195,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2212,cold,no_feasible,False,602041.0,60.00634360010736,7925,7523,2280,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2213,cold,no_feasible,False,611421.5,60.00345479999669,7787,7385,2105,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2214,cold,no_feasible,False,596464.5,60.00926769990474,7703,7301,1840,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2215,cold,no_feasible,False,585266.0,60.00809739995748,7736,7334,2040,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2216,cold,no_feasible,False,594602.0,60.005238599842414,7797,7395,2147,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2217,cold,no_feasible,False,583628.5,60.00401740008965,7816,7414,2068,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2218,cold,no_feasible,False,602083.5,60.00225929985754,7664,7299,1882,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2219,cold,no_feasible,False,599014.0,60.00830089999363,7867,7465,2065,2,,,True,
threshold,0.0,419.1610668943384,0.0,False,,2220,cold,no_feasible,False,598894.0,60.00625179987401,7783,7381,2004,2,,,True,
threshold,0.075,434.59544406263626,1.0,True,,2201,warm,timeout,True,522183.0,60.002155900001526,9522,9120,994,2,7501,47.3562857999932,True,
threshold,0.075,434.59544406263626,1.0,True,,2201,cold,timeout,True,518710.0,60.00731009989977,8121,7719,668,2,1,0.21284379996359348,True,
threshold,0.075,434.59544406263626,1.0,True,,2202,cold,timeout,True,522124.0,60.01126729999669,7891,7489,762,2,1,0.24882039986550808,True,
threshold,0.075,434.59544406263626,1.0,True,,2203,cold,timeout,True,519106.0,60.00908300001174,7915,7513,850,2,1,0.24264990002848208,True,
threshold,0.075,434.59544406263626,1.0,True,,2204,cold,timeout,True,518282.5,60.00256199995056,8048,7646,667,2,1,0.217162000015378,True,
threshold,0.075,434.59544406263626,1.0,True,,2205,cold,timeout,True,522318.0,60.00089010014199,7957,7555,804,2,1,0.23597329994663596,True,
threshold,0.075,434.59544406263626,1.0,True,,2206,cold,timeout,True,522038.5,60.00518610002473,8058,7656,941,2,1,0.1788542999420315,True,
threshold,0.075,434.59544406263626,1.0,True,,2207,cold,timeout,True,522124.0,60.00096029997803,7922,7520,836,2,1,0.1887060001026839,True,
threshold,0.075,434.59544406263626,1.0,True,,2208,cold,timeout,True,520091.0,60.00488659995608,7963,7561,811,2,1,0.19532709987834096,True,
threshold,0.075,434.59544406263626,1.0,True,,2209,cold,timeout,True,520361.5,60.00525259994902,7913,7511,716,2,1,0.2133402000181377,True,
threshold,0.075,434.59544406263626,1.0,True,,2210,cold,timeout,True,522606.0,60.00490060006268,7725,7323,983,2,1,0.1948345999699086,True,
threshold,0.075,434.59544406263626,1.0,True,,2211,cold,timeout,True,522552.5,60.005533900111914,7944,7542,868,2,1,0.21879220008850098,True,
threshold,0.075,434.59544406263626,1.0,True,,2212,cold,timeout,True,522589.5,60.00168130011298,7933,7531,795,2,1,0.2277098000049591,True,
threshold,0.075,434.59544406263626,1.0,True,,2213,cold,timeout,True,521146.0,60.001859300071374,7894,7492,785,2,1,0.21110740001313388,True,
threshold,0.075,434.59544406263626,1.0,True,,2214,cold,timeout,True,521349.5,60.00098540005274,7871,7469,741,2,1,0.18811139999888837,True,
threshold,0.075,434.59544406263626,1.0,True,,2215,cold,timeout,True,517716.0,60.00477849994786,7859,7457,859,2,1,0.20893839979544282,True,
threshold,0.075,434.59544406263626,1.0,True,,2216,cold,timeout,True,522869.5,60.004325200105086,7955,7553,867,2,1,0.19174500019289553,True,
threshold,0.075,434.59544406263626,1.0,True,,2217,cold,timeout,True,514767.5,60.01010979991406,7936,7534,658,2,1,0.2143228999339044,True,
threshold,0.075,434.59544406263626,1.0,True,,2218,cold,timeout,True,523250.0,60.008901100140065,7810,7408,756,2,1,0.2080133999697864,True,
threshold,0.075,434.59544406263626,1.0,True,,2219,cold,timeout,True,519564.0,60.00232299999334,7952,7550,724,2,1,0.19354490004479885,True,
threshold,0.075,434.59544406263626,1.0,True,,2220,cold,timeout,True,522161.5,60.006294899852946,7782,7380,914,2,1,0.2227905998006463,True,
threshold,0.0375,426.9480062021604,0.0,False,,2201,warm,no_feasible,False,514767.5,60.00334189995192,9555,9153,1584,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2201,cold,no_feasible,False,598312.5,60.00388550013304,7876,7474,2107,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2202,cold,no_feasible,False,579689.0,60.00625600013882,7780,7378,2089,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2203,cold,no_feasible,False,584937.0,60.005756499944255,7673,7299,1912,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2204,cold,no_feasible,False,617745.0,60.00367800006643,7741,7339,2145,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2205,cold,no_feasible,False,598732.5,60.00054880022071,7666,7299,1992,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2206,cold,no_feasible,False,597253.5,60.00905990018509,7657,7299,1867,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2207,cold,no_feasible,False,604523.0,60.00407349993475,7814,7412,2242,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2208,cold,no_feasible,False,586443.0,60.00146610010415,7663,7299,1992,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2209,cold,no_feasible,False,592745.5,60.003698100103065,7637,7299,2044,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2210,cold,no_feasible,False,592249.0,60.001817299984396,7728,7326,2042,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2211,cold,no_feasible,False,600432.0,60.00606729998253,7812,7410,2266,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2212,cold,no_feasible,False,577315.5,60.006634399993345,7701,7299,2109,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2213,cold,no_feasible,False,599040.5,60.00583539996296,7635,7299,2123,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2214,cold,no_feasible,False,598102.0,60.003857400035486,7490,7289,2018,1,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2215,cold,no_feasible,False,595235.0,60.114658599952236,7501,7299,1877,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2216,cold,no_feasible,False,618824.0,60.0025739998091,7450,7249,1898,1,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2217,cold,no_feasible,False,603624.0,60.00513150007464,7653,7299,2053,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2218,cold,no_feasible,False,590965.0,60.00579530000687,7583,7299,1902,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2219,cold,no_feasible,False,591613.0,60.00018119998276,7600,7299,1909,2,,,True,
threshold,0.0375,426.9480062021604,0.0,False,,2220,cold,no_feasible,False,613953.0,60.00322490022518,7611,7299,1984,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2201,warm,no_feasible,False,514767.5,60.0048923001159,9568,9166,1631,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2201,cold,no_feasible,False,588595.0,60.001438699895516,7949,7547,2420,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2202,cold,no_feasible,False,588811.5,60.005781300133094,7804,7402,2045,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2203,cold,no_feasible,False,607607.0,60.001219199970365,7747,7345,1970,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2204,cold,no_feasible,False,604467.5,60.00381260016002,7880,7478,2158,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2205,cold,no_feasible,False,595202.0,60.00331720011309,7782,7380,1942,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2206,cold,no_feasible,False,604330.0,60.00826969998889,7615,7299,1860,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2207,cold,no_feasible,False,576478.0,60.001794799929485,7965,7563,2234,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2208,cold,no_feasible,False,591350.0,60.002341999905184,7704,7302,2191,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2209,cold,no_feasible,False,592787.0,60.00290849991143,7798,7396,2043,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2210,cold,no_feasible,False,593240.5,60.001507099950686,7765,7363,1951,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2211,cold,no_feasible,False,596360.0,60.00071409996599,7787,7385,2329,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2212,cold,no_feasible,False,604779.0,60.001132499892265,7822,7420,2170,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2213,cold,no_feasible,False,575174.5,60.001610999926925,7679,7299,2141,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2214,cold,no_feasible,False,610689.5,60.002249100012705,7743,7341,1943,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2215,cold,no_feasible,False,590717.5,60.00100399996154,7567,7299,1993,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2216,cold,no_feasible,False,590143.0,60.00318420003168,7653,7299,1895,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2217,cold,no_feasible,False,606427.5,60.0004645998124,7788,7386,2365,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2218,cold,no_feasible,False,591510.0,60.004472999833524,7553,7299,1934,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2219,cold,no_feasible,False,586953.5,60.00126349995844,7765,7363,1809,2,,,True,
threshold,0.05625,430.7886953020007,0.0,False,,2220,cold,no_feasible,False,585356.5,60.00571900000796,7708,7306,2031,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2201,warm,no_feasible,False,514767.5,60.00015460001305,9643,9241,1806,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2201,cold,no_feasible,False,603868.5,60.00160600012168,7919,7517,2281,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2202,cold,no_feasible,False,598124.5,60.006183999823406,7745,7343,2070,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2203,cold,no_feasible,False,593193.5,60.00804749992676,7712,7310,2144,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2204,cold,no_feasible,False,589246.5,60.00368099985644,7833,7431,2158,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2205,cold,no_feasible,False,588565.5,60.00594149995595,7836,7434,1898,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2206,cold,no_feasible,False,589824.5,60.0032145997975,7695,7299,2047,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2207,cold,no_feasible,False,587875.5,60.003828699933365,7899,7497,2231,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2208,cold,no_feasible,False,602902.5,60.005222000181675,7787,7385,2125,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2209,cold,no_feasible,False,587814.5,60.004037000006065,7774,7372,2036,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2210,cold,no_feasible,False,605386.5,60.00150249991566,7739,7337,2012,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2211,cold,no_feasible,False,595881.0,60.00167270004749,7919,7517,2277,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2212,cold,no_feasible,False,602178.5,60.00645139999688,7834,7432,2159,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2213,cold,no_feasible,False,615452.0,60.006072799908,7756,7354,2044,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2214,cold,no_feasible,False,600237.5,60.00463870004751,7683,7299,1872,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2215,cold,no_feasible,False,591942.5,60.00367489992641,7802,7400,2132,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2216,cold,no_feasible,False,608006.5,60.00239080004394,7753,7351,1916,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2217,cold,no_feasible,False,603595.5,60.0029068000149,7599,7299,2176,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2218,cold,no_feasible,False,588009.0,60.00483520003036,7684,7299,2087,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2219,cold,no_feasible,False,602076.5,60.01080960012041,7778,7376,1779,2,,,True,
threshold,0.065625,432.6962560503615,0.0,False,,2220,cold,no_feasible,False,575896.5,60.003891800064594,7704,7302,1942,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2201,warm,no_feasible,False,514767.5,60.005305300001055,9582,9180,1629,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2201,cold,no_feasible,False,600960.0,60.0003581000492,7930,7528,2366,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2202,cold,no_feasible,False,589327.5,60.00225939997472,7824,7422,2122,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2203,cold,no_feasible,False,592751.0,60.00758510013111,7819,7417,2060,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2204,cold,no_feasible,False,593899.0,60.00576739991084,7893,7491,2299,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2205,cold,no_feasible,False,602576.5,60.00228899996728,7827,7425,1908,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2206,cold,no_feasible,False,589681.5,60.00548609998077,7760,7358,2149,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2207,cold,no_feasible,False,589863.0,60.00111910002306,7886,7484,2087,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2208,cold,no_feasible,False,602233.5,60.00486569991335,7831,7429,1972,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2209,cold,no_feasible,False,588092.0,60.003971399972215,7664,7299,1922,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2210,cold,no_feasible,False,594051.5,60.00390350003727,7694,7299,2129,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2211,cold,no_feasible,False,614761.0,60.00024159997702,7948,7546,2492,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2212,cold,no_feasible,False,623301.5,60.00411149999127,7875,7473,2307,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2213,cold,no_feasible,False,617247.0,60.00126360007562,7794,7392,2169,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2214,cold,no_feasible,False,611836.5,60.0055863999296,7866,7464,2080,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2215,cold,no_feasible,False,591465.5,60.006434999872,7670,7299,2017,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2216,cold,no_feasible,False,603170.0,60.0091570999939,7683,7299,1836,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2217,cold,no_feasible,False,574871.0,60.00040889997035,7833,7431,2206,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2218,cold,no_feasible,False,594573.0,60.00232549989596,7728,7326,2107,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2219,cold,no_feasible,False,596412.5,60.00386209995486,7946,7544,1990,2,,,True,
threshold,0.0703125,433.64688976170464,0.0,False,,2220,cold,no_feasible,False,611003.0,60.003624100005254,7815,7413,2205,2,,,True,
final,0.075,,,,,2301,final_cold,timeout,True,520824.5,60.0011811000295,8135,7733,724,2,1,0.2085081001278013,True,
final,0.075,,,,,2302,final_cold,timeout,True,522675.5,60.0046769999899,8049,7647,729,2,1,0.19555029994808137,True,
final,0.075,,,,,2303,final_cold,timeout,True,522638.0,60.005458100000396,7976,7574,874,2,1,0.1680477000772953,True,
final,0.075,,,,,2304,final_cold,timeout,True,521695.5,60.002636400051415,8065,7663,674,2,1,0.1892176999244839,True,
final,0.075,,,,,2305,final_cold,timeout,True,521112.5,60.00607899995521,8136,7734,607,2,1,0.19398070010356605,True,
final,0.075,,,,,2306,final_cold,timeout,True,517314.5,60.001892500091344,8160,7758,694,2,1,0.19229459995403886,True,
final,0.075,,,,,2307,final_cold,timeout,True,512504.5,60.00057559995912,8155,7753,688,2,1,0.21059480006806552,True,
final,0.075,,,,,2308,final_cold,timeout,True,516622.0,60.00007569999434,8041,7639,741,2,1,0.16776979994028807,True,
final,0.075,,,,,2309,final_cold,timeout,True,518930.0,60.00418240018189,8075,7673,800,2,1,0.25360050005838275,True,
final,0.075,,,,,2310,final_cold,timeout,True,514299.5,60.00342740002088,8048,7646,660,2,1,0.204003999941051,True,
final,0.075,,,,,2311,final_cold,timeout,True,522772.0,60.00202349992469,8001,7599,869,2,1,0.2149269999936223,True,
final,0.075,,,,,2312,final_cold,timeout,True,520018.0,60.00112279993482,8071,7669,689,2,1,0.23349309992045164,True,
final,0.075,,,,,2313,final_cold,timeout,True,512427.5,60.00474029988982,8112,7710,695,2,1,0.1731950999237597,True,
final,0.075,,,,E:/2026_chinamcm/outputs/q3/_runtime/v3_n200/runtime/n200/v3_n200_q3-cont-r/layout.json,2314,final_cold,timeout,True,510627.0,60.007081100018695,8095,7693,621,2,1,0.18086190009489655,True,
final,0.075,,,,,2315,final_cold,timeout,True,520179.5,60.01037649996579,7938,7536,1148,2,1,0.19531429978087544,True,
final,0.075,,,,,2316,final_cold,timeout,True,520791.0,60.003170900046825,8121,7719,636,2,1,0.19473570003174245,True,
final,0.075,,,,,2317,final_cold,timeout,True,512529.5,60.00420990004204,8104,7702,744,2,1,0.20667280000634491,True,
