phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.15,449.5001668520269,1.0,True,,2201,cold,timeout,True,508673.5,60.00304569979198,7550,7299,928,2,1,0.2261482998728752,True,
threshold,0.15,449.5001668520269,1.0,True,,2202,cold,timeout,True,511461.0,60.00084639992565,7623,7299,899,2,1,0.2299828000832349,True,
threshold,0.15,449.5001668520269,1.0,True,,2203,cold,timeout,True,518464.0,60.00057679996826,7502,7299,940,2,1,0.22829049988649786,True,
threshold,0.15,449.5001668520269,1.0,True,,2204,cold,timeout,True,511653.5,60.00477380002849,7593,7299,877,2,1,0.2417659000493586,True,
threshold,0.15,449.5001668520269,1.0,True,,2205,cold,timeout,True,518062.0,60.001010899897665,7628,7299,772,2,1,0.20180709986016154,True,
threshold,0.15,449.5001668520269,1.0,True,,2206,cold,timeout,True,518039.0,60.00204379996285,7694,7299,854,2,1,0.19458629982545972,True,
threshold,0.15,449.5001668520269,1.0,True,,2207,cold,timeout,True,508264.5,60.002955599920824,7519,7299,848,2,1,0.241892300080508,True,
threshold,0.15,449.5001668520269,1.0,True,,2208,cold,timeout,True,501930.0,60.00161190005019,7598,7299,824,2,1,0.17548100021667778,True,
threshold,0.15,449.5001668520269,1.0,True,,2209,cold,timeout,True,508984.0,60.004728000145406,7752,7350,839,2,1,0.20446510007604957,True,
threshold,0.15,449.5001668520269,1.0,True,,2210,cold,timeout,True,518405.0,60.00430420017801,7771,7369,707,2,1,0.2207441001664847,True,
threshold,0.15,449.5001668520269,1.0,True,,2211,cold,timeout,True,502312.0,60.00565390009433,7707,7305,802,2,1,0.19038330018520355,True,
threshold,0.15,449.5001668520269,1.0,True,,2212,cold,timeout,True,518992.5,60.00370530015789,7755,7353,753,2,1,0.17848150013014674,True,
threshold,0.15,449.5001668520269,1.0,True,,2213,cold,timeout,True,512106.5,60.00312340003438,7682,7299,780,2,1,0.23128230008296669,True,
threshold,0.15,449.5001668520269,1.0,True,,2214,cold,timeout,True,502764.5,60.00369150005281,7711,7309,862,2,1,0.19240569998510182,True,
threshold,0.15,449.5001668520269,1.0,True,,2215,cold,timeout,True,504830.5,60.001167099922895,7666,7299,868,2,1,0.1995845998171717,True,
threshold,0.15,449.5001668520269,1.0,True,,2216,cold,timeout,True,517407.5,60.00260000000708,7685,7299,1129,2,1,0.1996770000550896,True,
threshold,0.15,449.5001668520269,1.0,True,,2217,cold,timeout,True,515236.0,60.004408799810335,7860,7458,951,2,1,0.1692954997997731,True,
threshold,0.15,449.5001668520269,1.0,True,,2218,cold,timeout,True,505880.5,60.00544989993796,7802,7400,880,2,1,0.18347449996508658,True,
threshold,0.15,449.5001668520269,1.0,True,,2219,cold,timeout,True,517601.5,60.003258399898186,7774,7372,869,2,1,0.18575529986992478,True,
threshold,0.15,449.5001668520269,1.0,True,,2220,cold,timeout,True,517161.5,60.0018635999877,7771,7369,918,2,1,0.18285619979724288,True,
threshold,0.145,448.5219281150031,1.0,True,,2201,cold,timeout,True,504884.5,60.00024239998311,7820,7418,829,2,1,0.2031491999514401,True,
threshold,0.145,448.5219281150031,1.0,True,,2202,cold,timeout,True,506528.0,60.00670720008202,8023,7621,897,2,1,0.19645839999429882,True,
threshold,0.145,448.5219281150031,1.0,True,,2203,cold,timeout,True,519362.5,60.003892299951985,7983,7581,1079,2,1,0.18160349992103875,True,
threshold,0.145,448.5219281150031,1.0,True,,2204,cold,timeout,True,518868.0,60.00370200001635,7970,7568,876,2,1,0.1839314999524504,True,
threshold,0.145,448.5219281150031,1.0,True,,2205,cold,timeout,True,519033.5,60.00278170011006,7893,7491,884,2,1,0.22393430001102388,True,
threshold,0.145,448.5219281150031,1.0,True,,2206,cold,timeout,True,517318.5,60.00190960010514,7940,7538,887,2,1,0.2175305001437664,True,
threshold,0.145,448.5219281150031,1.0,True,,2207,cold,timeout,True,505155.0,60.0046932999976,8056,7654,815,2,1,0.2014280001167208,True,
threshold,0.145,448.5219281150031,1.0,True,,2208,cold,timeout,True,512621.0,60.00263349991292,7878,7476,866,2,1,0.2138223999645561,True,
threshold,0.145,448.5219281150031,1.0,True,,2209,cold,timeout,True,508534.5,60.004474400077015,7893,7491,881,2,1,0.20413980004377663,True,
threshold,0.145,448.5219281150031,1.0,True,,2210,cold,timeout,True,519303.5,60.00642420002259,7918,7516,781,2,1,0.1741901000496,True,
threshold,0.145,448.5219281150031,1.0,True,,2211,cold,timeout,True,500419.5,60.00264099985361,7959,7557,921,2,1,0.1695147999562323,True,
threshold,0.145,448.5219281150031,1.0,True,,2212,cold,timeout,True,512730.0,60.002226900076494,7861,7459,946,2,1,0.1656096000224352,True,
threshold,0.145,448.5219281150031,1.0,True,,2213,cold,timeout,True,512263.0,60.00328029994853,7799,7397,919,2,1,0.1928499999921769,True,
threshold,0.145,448.5219281150031,1.0,True,,2214,cold,timeout,True,520084.5,60.00749130011536,7845,7443,781,2,1,0.21022350015118718,True,
threshold,0.145,448.5219281150031,1.0,True,,2215,cold,timeout,True,506541.0,60.00356680015102,7856,7454,1033,2,1,0.187687800033018,True,
threshold,0.145,448.5219281150031,1.0,True,,2216,cold,timeout,True,509105.5,60.004588400013745,7762,7360,924,2,1,0.21701060002669692,True,
threshold,0.145,448.5219281150031,1.0,True,,2217,cold,timeout,True,518241.5,60.0010991001036,7983,7581,864,2,1,0.19645310007035732,True,
threshold,0.145,448.5219281150031,1.0,True,,2218,cold,timeout,True,503649.5,60.00097479997203,8041,7639,938,2,1,0.1776173000689596,True,
threshold,0.145,448.5219281150031,1.0,True,,2219,cold,timeout,True,517197.5,60.00317130004987,8010,7608,900,2,1,0.18500549998134375,True,
threshold,0.145,448.5219281150031,1.0,True,,2220,cold,timeout,True,517780.0,60.00340740010142,8032,7630,887,2,1,0.2010178999044001,True,
threshold,0.14,447.5415511435782,1.0,True,,2201,cold,timeout,True,512189.0,60.0005913998466,8058,7656,852,2,1,0.19876839988864958,True,
