candidate,mode,status,count,legal_count,formal_audit_match_count,error_count,errors
Q3-BIN,cold,success,0,0,0,0,[]
Q3-BIN,cold,optimal,0,0,0,0,[]
Q3-BIN,cold,timeout,30,30,30,0,[]
Q3-BIN,cold,no_feasible,40,0,40,0,[]
Q3-BIN,cold,crash,0,0,0,0,[]
Q3-BIN,warm,success,0,0,0,0,[]
Q3-BIN,warm,optimal,0,0,0,0,[]
Q3-BIN,warm,timeout,0,0,0,0,[]
Q3-BIN,warm,no_feasible,0,0,0,0,[]
Q3-BIN,warm,crash,0,0,0,0,[]
Q3-BIN,final_cold,success,0,0,0,0,[]
Q3-BIN,final_cold,optimal,0,0,0,0,[]
Q3-BIN,final_cold,timeout,10,10,10,0,[]
Q3-BIN,final_cold,no_feasible,0,0,0,0,[]
Q3-BIN,final_cold,crash,0,0,0,0,[]
Q3-LIN,cold,success,0,0,0,0,[]
Q3-LIN,cold,optimal,0,0,0,0,[]
Q3-LIN,cold,timeout,180,180,180,0,[]
Q3-LIN,cold,no_feasible,10,0,10,0,[]
Q3-LIN,cold,crash,0,0,0,0,[]
Q3-LIN,warm,success,0,0,0,0,[]
Q3-LIN,warm,optimal,0,0,0,0,[]
Q3-LIN,warm,timeout,0,0,0,0,[]
Q3-LIN,warm,no_feasible,0,0,0,0,[]
Q3-LIN,warm,crash,0,0,0,0,[]
Q3-LIN,final_cold,success,0,0,0,0,[]
Q3-LIN,final_cold,optimal,0,0,0,0,[]
Q3-LIN,final_cold,timeout,10,10,10,0,[]
Q3-LIN,final_cold,no_feasible,0,0,0,0,[]
Q3-LIN,final_cold,crash,0,0,0,0,[]
Q3-CONT-R,cold,success,0,0,0,0,[]
Q3-CONT-R,cold,optimal,0,0,0,0,[]
Q3-CONT-R,cold,timeout,30,30,30,0,[]
Q3-CONT-R,cold,no_feasible,40,0,40,0,[]
Q3-CONT-R,cold,crash,0,0,0,0,[]
Q3-CONT-R,warm,success,0,0,0,0,[]
Q3-CONT-R,warm,optimal,0,0,0,0,[]
Q3-CONT-R,warm,timeout,2,2,2,0,[]
Q3-CONT-R,warm,no_feasible,4,0,4,0,[]
Q3-CONT-R,warm,crash,0,0,0,0,[]
Q3-CONT-R,final_cold,success,0,0,0,0,[]
Q3-CONT-R,final_cold,optimal,0,0,0,0,[]
Q3-CONT-R,final_cold,timeout,10,10,10,0,[]
Q3-CONT-R,final_cold,no_feasible,0,0,0,0,[]
Q3-CONT-R,final_cold,crash,0,0,0,0,[]
