candidate,seed,status,legal,HPWL,runtime,evaluations,restarts_completed,formal_audit_match,error,layout_path,source_result
Q3-BIN,1101,timeout,True,262820.5,60.0021115999989,21555,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1102,timeout,True,253665.5,60.000092399990535,21523,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1103,timeout,True,253546.5,60.00060869999288,21657,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1104,timeout,True,264344.5,60.0021204000077,21411,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1105,timeout,True,262747.5,60.000377999997,21324,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1106,timeout,True,262826.0,60.00232699999469,21898,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1107,timeout,True,251205.5,60.00006070001109,22059,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1108,timeout,True,262747.5,60.001066100012395,21747,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1109,timeout,True,248984.0,60.000942400001804,21595,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-BIN,1110,timeout,True,248215.5,60.00054039999668,21699,3,True,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/layout.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_bin/result.json
Q3-LIN,1101,timeout,True,262820.5,60.00169799999276,22409,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1102,timeout,True,253665.5,60.0032962999976,22377,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1103,timeout,True,253546.5,60.00080180000805,22605,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1104,timeout,True,264344.5,60.00083900000027,22494,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1105,timeout,True,262747.5,60.00287200001185,22379,3,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1106,timeout,True,262820.5,60.003011199994944,22610,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1107,timeout,True,250576.5,60.00050650000048,22893,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1108,timeout,True,262747.5,60.00073010000051,22692,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1109,timeout,True,248984.0,60.00229930000205,22607,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-LIN,1110,timeout,True,248106.5,60.002380400008406,22727,4,True,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/layout.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_lin/result.json
Q3-CONT-R,1101,timeout,True,262820.5,60.001438299994334,22666,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1102,timeout,True,253665.5,60.00113639999472,22867,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1103,timeout,True,253546.5,60.000540699998965,22849,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1104,timeout,True,262875.0,60.00145599999814,22739,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1105,timeout,True,262747.5,60.001484200009145,22528,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1106,timeout,True,262820.5,60.00119409999752,22628,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1107,timeout,True,250576.5,60.00183959999413,22888,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1108,timeout,True,262747.5,60.00022980000358,22886,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1109,timeout,True,248984.0,60.00664490000054,22501,4,True,,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
Q3-CONT-R,1110,timeout,True,248106.5,60.00010839999595,22781,4,True,,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/layout.json,outputs/q3/_runtime/v2_n100/n100/v2_n100_q3_cont_r/result.json
