phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.15,454.3414464915126,1.0,True,,1101,cold,timeout,True,262824.0,60.00068720000854,21447,21144,1923,3,1,0.019605699999374337,True,
threshold,0.15,454.3414464915126,1.0,True,,1102,cold,timeout,True,245513.0,60.003456699996605,21434,21131,1741,3,1,0.02348869999696035,True,
threshold,0.15,454.3414464915126,1.0,True,,1103,cold,timeout,True,249365.0,60.001180399995064,21519,21216,1760,3,1,0.019824999995762482,True,
threshold,0.15,454.3414464915126,1.0,True,,1104,cold,timeout,True,261298.0,60.00230819999706,21493,21190,1782,3,1,0.022722599998814985,True,
threshold,0.15,454.3414464915126,1.0,True,,1105,cold,timeout,True,255160.0,60.00154520000797,21525,21222,1597,3,1,0.023987499997019768,True,
threshold,0.15,454.3414464915126,1.0,True,,1106,cold,timeout,True,256527.5,60.00003999999899,21422,21119,1784,3,1,0.0220734999893466,True,
threshold,0.15,454.3414464915126,1.0,True,,1107,cold,timeout,True,246854.0,60.00185350001266,21372,21069,1630,3,1,0.021181100004469045,True,
threshold,0.15,454.3414464915126,1.0,True,,1108,cold,timeout,True,246842.5,60.00123700000404,21287,20984,1788,3,1,0.020966399999451824,True,
threshold,0.15,454.3414464915126,1.0,True,,1109,cold,timeout,True,251034.0,60.00267790000362,21331,21028,1798,3,1,0.026187499999650754,True,
threshold,0.15,454.3414464915126,1.0,True,,1110,cold,timeout,True,254115.0,60.002082499995595,21483,21180,1715,3,1,0.02032409999810625,True,
threshold,0.0,423.6755834361947,0.0,False,,1101,cold,no_feasible,False,312950.0,60.000138299990795,20398,20095,3245,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1102,cold,no_feasible,False,305021.0,60.00067300000228,20491,20188,3551,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1103,cold,no_feasible,False,308481.0,60.001562299992656,20835,20532,3321,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1104,cold,no_feasible,False,307559.5,60.00074630000745,20776,20473,3134,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1105,cold,no_feasible,False,313024.5,60.00037660000089,20757,20454,3398,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1106,cold,no_feasible,False,307770.0,60.00126979999186,21072,20769,3357,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1107,cold,no_feasible,False,300000.0,60.001872699998785,20974,20671,3355,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1108,cold,no_feasible,False,305398.5,60.001198099998874,21102,20799,3165,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1109,cold,no_feasible,False,316994.5,60.000515499996254,20981,20678,3249,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1110,cold,no_feasible,False,311609.0,60.00012810000044,21126,20823,3433,3,,,True,
threshold,0.075,439.2761944380779,1.0,True,,1101,cold,timeout,True,261554.5,60.00005400000373,21093,20790,1584,3,1,0.019993599998997524,True,
threshold,0.075,439.2761944380779,1.0,True,,1102,cold,timeout,True,254145.0,60.001880199997686,21252,20949,1273,3,1,0.020756199999595992,True,
threshold,0.075,439.2761944380779,1.0,True,,1103,cold,timeout,True,245964.0,60.00076870000339,21234,20931,1382,3,1,0.020808400004170835,True,
threshold,0.075,439.2761944380779,1.0,True,,1104,cold,timeout,True,264032.5,60.00270640000235,21150,20847,1533,3,1,0.021231300008366816,True,
threshold,0.075,439.2761944380779,1.0,True,,1105,cold,timeout,True,249410.5,60.0008256000001,21036,20733,1574,3,1,0.02095510000071954,True,
threshold,0.075,439.2761944380779,1.0,True,,1106,cold,timeout,True,259404.0,60.00262629998906,20623,20320,1390,3,1,0.02539450000040233,True,
threshold,0.075,439.2761944380779,1.0,True,,1107,cold,timeout,True,247782.5,60.002519100002246,20826,20523,1193,3,1,0.02371839999977965,True,
threshold,0.075,439.2761944380779,1.0,True,,1108,cold,timeout,True,261498.5,60.002123300000676,20841,20538,1581,3,1,0.02265500000794418,True,
threshold,0.075,439.2761944380779,1.0,True,,1109,cold,timeout,True,255150.5,60.00194430000556,20682,20379,1704,3,1,0.02158600000257138,True,
threshold,0.075,439.2761944380779,1.0,True,,1110,cold,timeout,True,252786.0,60.001342099989415,20591,20288,1398,3,1,0.02155589999165386,True,
threshold,0.0375,431.54639090137226,0.0,False,,1101,cold,no_feasible,False,309828.5,60.00075900000229,20353,20050,3191,3,,,True,
