phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.15,454.3414464915126,1.0,True,,1101,cold,timeout,True,262824.0,60.00025299999106,22554,22197,1998,4,1,0.018488899993826635,True,
threshold,0.15,454.3414464915126,1.0,True,,1102,cold,timeout,True,245513.0,60.00204749999102,22277,21974,1781,3,1,0.01942399999825284,True,
threshold,0.15,454.3414464915126,1.0,True,,1103,cold,timeout,True,249365.0,60.00015990000975,22358,22055,1789,3,1,0.01801770000020042,True,
threshold,0.15,454.3414464915126,1.0,True,,1104,cold,timeout,True,261298.0,60.00028800001019,21242,20939,1771,3,1,0.020216000004438683,True,
threshold,0.15,454.3414464915126,1.0,True,,1105,cold,timeout,True,249597.0,60.00178259999666,22551,22197,1649,4,1,0.018546899998909794,True,
threshold,0.15,454.3414464915126,1.0,True,,1106,cold,timeout,True,256527.5,60.00104429999192,22171,21868,1822,3,1,0.02299749999656342,True,
threshold,0.15,454.3414464915126,1.0,True,,1107,cold,timeout,True,246854.0,60.00160940000205,21386,21083,1631,3,1,0.020633200008887798,True,
threshold,0.15,454.3414464915126,1.0,True,,1108,cold,timeout,True,246842.5,60.00183369999286,20933,20630,1774,3,1,0.020864299993263558,True,
threshold,0.15,454.3414464915126,1.0,True,,1109,cold,timeout,True,248497.5,60.00127470000007,22009,21706,1844,3,1,0.02101710000715684,True,
threshold,0.15,454.3414464915126,1.0,True,,1110,cold,timeout,True,252016.0,60.00148919998901,22250,21947,1740,3,1,0.02089970000088215,True,
threshold,0.0,423.6755834361947,0.0,False,,1101,cold,no_feasible,False,312950.0,60.00201189999643,20774,20471,3288,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1102,cold,no_feasible,False,303702.5,60.000614899996435,21165,20862,3625,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1103,cold,no_feasible,False,308481.0,60.00238279999758,21431,21128,3372,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1104,cold,no_feasible,False,307559.5,60.00184810000064,21351,21048,3202,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1105,cold,no_feasible,False,313024.5,60.00210579999839,21151,20848,3450,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1106,cold,no_feasible,False,309324.0,60.0024873999937,21342,21039,3381,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1107,cold,no_feasible,False,300000.0,60.00201620000007,21121,20818,3372,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1108,cold,no_feasible,False,305398.5,60.002897800004575,21412,21109,3190,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1109,cold,no_feasible,False,316994.5,60.00166829999944,21247,20944,3271,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1110,cold,no_feasible,False,311609.0,60.000008599992725,21220,20917,3442,3,,,True,
threshold,0.075,439.2761944380779,1.0,True,,1101,cold,timeout,True,261554.5,60.00028970000858,21643,21340,1631,3,1,0.021273799997288734,True,
threshold,0.075,439.2761944380779,1.0,True,,1102,cold,timeout,True,254145.0,60.00200599999516,21655,21352,1287,3,1,0.020241099991835654,True,
threshold,0.075,439.2761944380779,1.0,True,,1103,cold,timeout,True,245964.0,60.00212499999907,21863,21560,1416,3,1,0.02035700000124052,True,
threshold,0.075,439.2761944380779,1.0,True,,1104,cold,timeout,True,264032.5,60.000212400002056,21706,21403,1551,3,1,0.022770299998228438,True,
threshold,0.075,439.2761944380779,1.0,True,,1105,cold,timeout,True,247641.5,60.001707399991574,21670,21367,1593,3,1,0.021793799998704344,True,
threshold,0.075,439.2761944380779,1.0,True,,1106,cold,timeout,True,259404.0,60.0012027000048,21775,21472,1430,3,1,0.020951300000888295,True,
threshold,0.075,439.2761944380779,1.0,True,,1107,cold,timeout,True,247782.5,60.001857000010205,21589,21286,1215,3,1,0.02683699999761302,True,
threshold,0.075,439.2761944380779,1.0,True,,1108,cold,timeout,True,261498.5,60.00097909999022,21765,21462,1636,3,1,0.02276459999848157,True,
threshold,0.075,439.2761944380779,1.0,True,,1109,cold,timeout,True,255150.5,60.00193620000209,21675,21372,1771,3,1,0.026704100004280917,True,
threshold,0.075,439.2761944380779,1.0,True,,1110,cold,timeout,True,252236.5,60.00132099998882,21663,21360,1432,3,1,0.022032699998817407,True,
threshold,0.0375,431.54639090137226,0.0,False,,1101,cold,no_feasible,False,309828.5,60.002029900002526,20609,20306,3210,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1102,cold,no_feasible,False,308105.5,60.00069130001066,20692,20389,3197,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1103,cold,no_feasible,False,304715.5,60.001149999996414,21062,20759,3123,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1104,cold,no_feasible,False,303690.0,60.00033999999869,20889,20586,3109,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1105,cold,no_feasible,False,300988.0,60.000982699988526,21051,20748,3479,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1106,cold,no_feasible,False,296738.5,60.00063720000617,21003,20700,3738,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1107,cold,no_feasible,False,312029.5,60.00256510000327,20877,20574,3432,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1108,cold,no_feasible,False,306330.0,60.001256799994735,20894,20591,3225,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1109,cold,no_feasible,False,307616.5,60.000648800007184,20986,20683,3385,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1110,cold,no_feasible,False,295502.0,60.00129770000058,20396,20093,3226,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1101,cold,no_feasible,False,309076.0,60.00034890000825,20667,20364,3373,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1102,cold,no_feasible,False,317016.5,60.00292709999485,20879,20576,3246,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1103,cold,no_feasible,False,299446.0,60.00189299999329,20848,20545,3698,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1104,cold,no_feasible,False,315910.0,60.002436600014335,20780,20477,3160,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1105,cold,no_feasible,False,306199.0,60.00158569999621,20934,20631,3398,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1106,cold,no_feasible,False,307891.5,60.000400600009016,20609,20306,3410,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1107,cold,no_feasible,False,311030.5,60.0018049999926,20332,20029,3520,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1108,cold,no_feasible,False,313337.5,60.00070479999704,20303,20000,3268,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1109,cold,no_feasible,False,318614.0,60.00011339999037,20333,20030,3480,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1110,cold,no_feasible,False,302003.5,60.00126200000523,20397,20094,3454,3,,,True,
threshold,0.065625,437.3565514828834,1.0,True,,1101,cold,timeout,True,262820.5,60.001631700011785,21482,21179,1280,3,1,0.022434400001657195,True,
threshold,0.065625,437.3565514828834,1.0,True,,1102,cold,timeout,True,253665.5,60.00119640000048,21450,21147,1374,3,1,0.020925100005115382,True,
threshold,0.065625,437.3565514828834,1.0,True,,1103,cold,timeout,True,253546.5,60.001929199992446,21436,21133,1101,3,1,0.021206499994150363,True,
threshold,0.065625,437.3565514828834,1.0,True,,1104,cold,timeout,True,264344.5,60.0002506999881,21437,21134,1311,3,1,0.020954399995389394,True,
threshold,0.065625,437.3565514828834,1.0,True,,1105,cold,timeout,True,262747.5,60.00140510000347,21435,21132,1549,3,1,0.021164300007512793,True,
threshold,0.065625,437.3565514828834,1.0,True,,1106,cold,timeout,True,262826.0,60.00215059999027,21332,21029,1290,3,1,0.026907699997536838,True,
threshold,0.065625,437.3565514828834,1.0,True,,1107,cold,timeout,True,251205.5,60.00227179999638,21461,21158,973,3,1,0.0229414000059478,True,
threshold,0.065625,437.3565514828834,1.0,True,,1108,cold,timeout,True,262747.5,60.002296099992236,21308,21005,1493,3,1,0.023679099991568364,True,
threshold,0.065625,437.3565514828834,1.0,True,,1109,cold,timeout,True,248984.0,60.00046539999312,21150,20847,1585,3,1,0.03591069999674801,True,
threshold,0.065625,437.3565514828834,1.0,True,,1110,cold,timeout,True,248395.0,60.000364300009096,21305,21002,1414,3,1,0.02269580001302529,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1101,cold,no_feasible,False,312950.0,60.004497300004005,20655,20352,3380,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1102,cold,no_feasible,False,305109.5,60.0002811000013,20881,20578,3671,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1103,cold,no_feasible,False,310874.5,60.00310940000054,20432,20129,3312,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1104,cold,no_feasible,False,315545.5,60.0025314999948,20585,20282,3291,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1105,cold,no_feasible,False,315553.0,60.00377139999182,20796,20493,3302,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1106,cold,no_feasible,False,309250.5,60.00044170000183,21133,20830,3654,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1107,cold,no_feasible,False,311293.0,60.000372499998775,20782,20479,3579,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1108,cold,no_feasible,False,304432.5,60.001183400003356,20856,20553,3448,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1109,cold,no_feasible,False,298309.5,60.00157160000526,20964,20661,3361,3,,,True,
threshold,0.0609375,436.39356341208793,0.0,False,,1110,cold,no_feasible,False,310020.0,60.00371369998902,20910,20607,3272,3,,,True,
final,0.065625,,,,,1101,final_cold,timeout,True,262820.5,60.00104740000097,21444,21141,1280,3,1,0.02357990000746213,True,
final,0.065625,,,,,1102,final_cold,timeout,True,253665.5,60.00170179999259,21524,21221,1375,3,1,0.022146799994516186,True,
