phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.15,454.3414464915126,1.0,True,,1101,cold,timeout,True,262824.0,60.00231349999376,22832,22428,2061,4,1,0.023165899998275563,True,
threshold,0.15,454.3414464915126,1.0,True,,1102,cold,timeout,True,245513.0,60.00172249999014,22806,22402,1831,4,1,0.020397100000991486,True,
threshold,0.15,454.3414464915126,1.0,True,,1103,cold,timeout,True,249365.0,60.002307899994776,22915,22511,1891,4,1,0.020849499996984378,True,
threshold,0.15,454.3414464915126,1.0,True,,1104,cold,timeout,True,261298.0,60.00109750000411,22863,22459,1910,4,1,0.01980069999990519,True,
threshold,0.15,454.3414464915126,1.0,True,,1105,cold,timeout,True,249597.0,60.00357850000728,22784,22380,1718,4,1,0.026187499999650754,True,
threshold,0.15,454.3414464915126,1.0,True,,1106,cold,timeout,True,256527.5,60.00028169999132,22523,22197,1836,4,1,0.02016379999986384,True,
threshold,0.15,454.3414464915126,1.0,True,,1107,cold,timeout,True,246292.5,60.00087299999723,22489,22186,1679,3,1,0.02369370000087656,True,
threshold,0.15,454.3414464915126,1.0,True,,1108,cold,timeout,True,246842.5,60.001023300006636,22428,22125,1839,3,1,0.020289499996579252,True,
threshold,0.15,454.3414464915126,1.0,True,,1109,cold,timeout,True,246534.5,60.00199810000777,22348,22045,1857,3,1,0.021020000000135042,True,
threshold,0.15,454.3414464915126,1.0,True,,1110,cold,timeout,True,252016.0,60.000330299997586,22381,22078,1741,3,1,0.022166899987496436,True,
threshold,0.0,423.6755834361947,0.0,False,,1101,warm,no_feasible,False,297250.0,60.000993499998,25919,25515,3520,4,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1101,cold,no_feasible,False,312950.0,60.00182190000487,21889,21586,3413,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1102,cold,no_feasible,False,307152.0,60.001655400003074,21828,21525,3692,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1103,cold,no_feasible,False,308481.0,60.00318079999124,22344,22041,3453,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1104,cold,no_feasible,False,307559.5,60.00229830000899,22154,21851,3278,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1105,cold,no_feasible,False,313024.5,60.00120160001097,22117,21814,3535,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1106,cold,no_feasible,False,313276.0,60.000084999992396,22506,22197,3463,4,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1107,cold,no_feasible,False,300000.0,60.00230229999579,22268,21965,3493,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1108,cold,no_feasible,False,305398.5,60.002221899994765,22314,22011,3280,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1109,cold,no_feasible,False,316994.5,60.00054780000937,22237,21934,3355,3,,,True,
threshold,0.0,423.6755834361947,0.0,False,,1110,cold,no_feasible,False,311609.0,60.00072180001007,22476,22173,3593,3,,,True,
threshold,0.075,439.2761944380779,1.0,True,,1101,warm,timeout,True,261498.5,60.00071839999873,26591,26187,2031,4,7501,16.973949999999604,True,
threshold,0.075,439.2761944380779,1.0,True,,1101,cold,timeout,True,261498.5,60.000304300003336,22752,22348,1726,4,1,0.020558600008371286,True,
threshold,0.075,439.2761944380779,1.0,True,,1102,cold,timeout,True,254145.0,60.00171240000054,22936,22532,1377,4,1,0.024251299997558817,True,
threshold,0.075,439.2761944380779,1.0,True,,1103,cold,timeout,True,245964.0,60.00252290000208,23133,22729,1528,4,1,0.02880159999767784,True,
threshold,0.075,439.2761944380779,1.0,True,,1104,cold,timeout,True,261554.5,60.00092000000586,23044,22640,1669,4,1,0.02261020000150893,True,
threshold,0.075,439.2761944380779,1.0,True,,1105,cold,timeout,True,246152.5,60.00171430000046,23004,22600,1684,4,1,0.02264629999990575,True,
threshold,0.075,439.2761944380779,1.0,True,,1106,cold,timeout,True,259404.0,60.00044920000073,22690,22286,1475,4,1,0.021403500009910204,True,
threshold,0.075,439.2761944380779,1.0,True,,1107,cold,timeout,True,247782.5,60.002309999996214,22857,22453,1279,4,1,0.02506879999418743,True,
threshold,0.075,439.2761944380779,1.0,True,,1108,cold,timeout,True,261498.5,60.00193959999888,22987,22583,1733,4,1,0.0215942999930121,True,
threshold,0.075,439.2761944380779,1.0,True,,1109,cold,timeout,True,255150.5,60.00042630000098,22877,22473,1876,4,1,0.020738400009577163,True,
threshold,0.075,439.2761944380779,1.0,True,,1110,cold,timeout,True,251957.0,60.001928300000145,22871,22467,1497,4,1,0.020852399989962578,True,
threshold,0.0375,431.54639090137226,0.0,False,,1101,warm,no_feasible,False,245964.0,60.00023849999707,26043,25639,3357,4,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1101,cold,no_feasible,False,309828.5,60.002543599999626,22172,21869,3317,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1102,cold,no_feasible,False,308105.5,60.000630300011835,22312,22009,3293,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1103,cold,no_feasible,False,313687.0,60.00168089999352,22594,22197,3253,4,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1104,cold,no_feasible,False,316393.5,60.00020149999182,22441,22138,3287,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1105,cold,no_feasible,False,300988.0,60.00171060000139,22512,22197,3580,4,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1106,cold,no_feasible,False,296738.5,60.00119959999574,22477,22174,3871,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1107,cold,no_feasible,False,305708.5,60.00138639999204,22207,21904,3513,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1108,cold,no_feasible,False,306330.0,60.00157949999266,22414,22111,3362,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1109,cold,no_feasible,False,307616.5,60.000611099996604,22385,22082,3509,3,,,True,
threshold,0.0375,431.54639090137226,0.0,False,,1110,cold,no_feasible,False,295502.0,60.00008820000221,22220,21917,3390,3,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1101,warm,no_feasible,False,245964.0,60.00183929999184,26033,25629,3554,4,,,True,
threshold,0.05625,435.4284456142019,0.0,False,,1101,cold,no_feasible,False,309076.0,60.000473299995065,21015,20712,3404,3,,,True,
