phase,dead_space_ratio,outline_side,cold_success_rate,robust,layout_path,seed,mode,status,legal,HPWL,runtime,evaluations,proposals,accepted,restarts_completed,first_feasible_evaluation,first_feasible_time,formal_audit_match,error
threshold,0.15,454.3414464915126,1.0,True,,1101,cold,timeout,True,262824.0,60.001139799991506,22219,21916,1975,3,1,0.026533299998845905,True,
threshold,0.15,454.3414464915126,1.0,True,,1102,cold,timeout,True,245513.0,60.002042499996605,22190,21887,1777,3,1,0.023834299994632602,True,
threshold,0.15,454.3414464915126,1.0,True,,1103,cold,timeout,True,249365.0,60.00147120001202,22342,22039,1788,3,1,0.025069100011023693,True,
threshold,0.15,454.3414464915126,1.0,True,,1104,cold,timeout,True,261298.0,60.00151119999646,22152,21849,1827,3,1,0.029296599997906014,True,
threshold,0.15,454.3414464915126,1.0,True,,1105,cold,timeout,True,252648.0,60.00293319999764,22161,21858,1632,3,1,0.026142700007767417,True,
threshold,0.15,454.3414464915126,1.0,True,,1106,cold,timeout,True,256527.5,60.0016292000073,22144,21841,1822,3,1,0.02087520000350196,True,
threshold,0.15,454.3414464915126,1.0,True,,1107,cold,timeout,True,246854.0,60.00093670000206,22122,21819,1660,3,1,0.020012900000438094,True,
threshold,0.15,454.3414464915126,1.0,True,,1108,cold,timeout,True,246842.5,60.00058629999694,21989,21686,1826,3,1,0.020746799986227416,True,
threshold,0.15,454.3414464915126,1.0,True,,1109,cold,timeout,True,248144.5,60.00010079999629,22161,21858,1848,3,1,0.020249699999112636,True,
threshold,0.15,454.3414464915126,1.0,True,,1110,cold,timeout,True,252108.5,60.00124659998983,22155,21852,1739,3,1,0.02094309999665711,True,
threshold,0.145,453.3526717689,1.0,True,,1101,cold,timeout,True,252342.0,60.00031669999589,22118,21815,2044,3,1,0.0193141000054311,True,
threshold,0.145,453.3526717689,1.0,True,,1102,cold,timeout,True,247667.0,60.00082200000179,22013,21710,1819,3,1,0.02361009999003727,True,
threshold,0.145,453.3526717689,1.0,True,,1103,cold,timeout,True,251664.5,60.002043899992714,21982,21679,1808,3,1,0.019758299997192807,True,
threshold,0.145,453.3526717689,1.0,True,,1104,cold,timeout,True,260155.0,60.00193290000607,22040,21737,1777,3,1,0.02185970000573434,True,
threshold,0.145,453.3526717689,1.0,True,,1105,cold,timeout,True,242012.0,60.000279700005194,22145,21842,1900,3,1,0.01984470000024885,True,
threshold,0.145,453.3526717689,1.0,True,,1106,cold,timeout,True,252180.5,60.00000979998731,22147,21844,1932,3,1,0.024276899988763034,True,
threshold,0.145,453.3526717689,1.0,True,,1107,cold,timeout,True,257121.5,60.002598999999464,22187,21884,1846,3,1,0.021278999993228354,True,
threshold,0.145,453.3526717689,1.0,True,,1108,cold,timeout,True,259645.0,60.000993599998765,22123,21820,1775,3,1,0.020520400008535944,True,
