几何,声明域,模式,最大评价次数,时间上限秒,注册运行数,发现运行数,缺失数,合法率,合法运行数,成功数,超时数,无可行数,崩溃数,面积最小值,面积中位数,面积IQR,面积P90,面积最大值,同几何域exact参考面积,incumbent gap中位数,incumbent gap IQR,incumbent gap P90,formal审计通过数,domain审计通过数
G+,9x9,SA,10000,60.0,20,20,0,1.0,20,20,0,0,0,28.0,30.0,2.0,30.0,30.0,28.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,20,20
G+,9x9,SA,10000,120.0,20,20,0,1.0,20,20,0,0,0,28.0,30.0,2.0,30.0,30.0,28.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,20,20
G+,9x9,SA,30000,60.0,20,20,0,1.0,20,20,0,0,0,28.0,28.0,0.0,28.200000000000003,30.0,28.0,0.0,0.0,0.007142857142857244,20,20
G+,9x9,SA,30000,120.0,20,20,0,1.0,20,20,0,0,0,28.0,28.0,0.0,28.200000000000003,30.0,28.0,0.0,0.0,0.007142857142857244,20,20
G+,9x9,SA,60000,60.0,20,20,0,1.0,20,0,20,0,0,28.0,28.0,0.0,28.0,30.0,28.0,0.0,0.0,0.0,20,20
G+,9x9,SA,60000,120.0,20,20,0,1.0,20,20,0,0,0,28.0,28.0,0.0,28.0,28.0,28.0,0.0,0.0,0.0,20,20
G+,12x12,SA,10000,60.0,20,20,0,1.0,20,20,0,0,0,28.0,30.0,2.0,32.0,32.0,28.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,20,20
G+,12x12,SA,10000,120.0,20,20,0,1.0,20,20,0,0,0,28.0,30.0,2.0,32.0,32.0,28.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,20,20
G+,12x12,SA,30000,60.0,20,20,0,1.0,20,20,0,0,0,28.0,28.0,2.0,30.0,32.0,28.0,0.0,0.07142857142857142,0.07142857142857142,20,20
G+,12x12,SA,30000,120.0,20,20,0,1.0,20,20,0,0,0,28.0,28.0,2.0,30.0,32.0,28.0,0.0,0.07142857142857142,0.07142857142857142,20,20
G+,12x12,SA,60000,60.0,20,20,0,1.0,20,0,20,0,0,28.0,28.0,2.0,30.0,30.0,28.0,0.0,0.07142857142857142,0.07142857142857142,20,20
G+,12x12,SA,60000,120.0,20,20,0,1.0,20,20,0,0,0,28.0,28.0,0.5,30.0,30.0,28.0,0.0,0.017857142857142856,0.07142857142857142,20,20
G-,9x9,SA,10000,60.0,20,20,0,1.0,20,20,0,0,0,24.0,25.0,1.0,28.0,30.0,24.0,0.041666666666666664,0.04166666666666666,0.16666666666666666,20,20
G-,9x9,SA,10000,120.0,20,20,0,1.0,20,20,0,0,0,24.0,25.0,1.0,28.0,30.0,24.0,0.041666666666666664,0.04166666666666666,0.16666666666666666,20,20
G-,9x9,SA,30000,60.0,20,20,0,1.0,20,20,0,0,0,24.0,24.0,1.0,25.0,28.0,24.0,0.0,0.041666666666666664,0.041666666666666664,20,20
G-,9x9,SA,30000,120.0,20,20,0,1.0,20,20,0,0,0,24.0,24.0,1.0,25.0,28.0,24.0,0.0,0.041666666666666664,0.041666666666666664,20,20
G-,9x9,SA,60000,60.0,20,20,0,1.0,20,0,20,0,0,24.0,24.0,0.0,25.0,25.0,24.0,0.0,0.0,0.041666666666666664,20,20
G-,9x9,SA,60000,120.0,20,20,0,1.0,20,20,0,0,0,24.0,24.0,0.0,25.0,25.0,24.0,0.0,0.0,0.041666666666666664,20,20
G-,12x12,SA,10000,60.0,20,20,0,1.0,20,20,0,0,0,25.0,28.0,0.75,30.0,30.0,24.0,0.16666666666666666,0.03125,0.25,20,20
G-,12x12,SA,10000,120.0,20,20,0,1.0,20,20,0,0,0,25.0,28.0,0.75,30.0,30.0,24.0,0.16666666666666666,0.03125,0.25,20,20
G-,12x12,SA,30000,60.0,20,20,0,1.0,20,20,0,0,0,24.0,24.5,1.0,28.0,28.0,24.0,0.020833333333333332,0.041666666666666664,0.16666666666666666,20,20
G-,12x12,SA,30000,120.0,20,20,0,1.0,20,20,0,0,0,24.0,24.5,1.0,28.0,28.0,24.0,0.020833333333333332,0.041666666666666664,0.16666666666666666,20,20
G-,12x12,SA,60000,60.0,20,20,0,1.0,20,0,20,0,0,24.0,24.5,1.0,25.0,25.0,24.0,0.020833333333333332,0.041666666666666664,0.041666666666666664,20,20
G-,12x12,SA,60000,120.0,20,20,0,1.0,20,20,0,0,0,24.0,24.0,1.0,25.0,25.0,24.0,0.0,0.041666666666666664,0.041666666666666664,20,20
G0,9x9,SA,10000,60.0,20,20,0,1.0,20,20,0,0,0,24.0,28.0,0.0,30.0,30.0,24.0,0.16666666666666666,0.0,0.25,20,20
G0,9x9,SA,10000,120.0,20,20,0,1.0,20,20,0,0,0,24.0,28.0,0.0,30.0,30.0,24.0,0.16666666666666666,0.0,0.25,20,20
G0,9x9,SA,30000,60.0,20,20,0,1.0,20,20,0,0,0,24.0,25.0,4.0,28.0,28.0,24.0,0.041666666666666664,0.16666666666666666,0.16666666666666666,20,20
